"yearmonth.x","TICKER","gsector","bm","lt_ppent","SIZE","chqn","ab0"
201503,"A",35,-0.356115743498719,-0.193190643883113,-0.515417798726697,-0.0745255782727697,-0.013267
201504,"A",35,-0.21919543116826,-0.197827995959101,-0.544449816220102,-0.0513071291992553,-0.004332
201505,"A",35,-0.218541638328088,-0.198108468953155,-0.466833967685032,-0.0390046108259634,-0.004351
201506,"A",35,-0.20455548493437,-0.197467511190742,-0.467741021824058,-0.0432627989101108,-0.060937
201507,"A",35,-0.307419018150669,-0.195498332470254,-0.458101417022793,-0.0532541470656713,0.061431
201508,"A",35,-0.307567928266572,-0.195463894942876,-0.472842663222253,-0.0707995264364047,-0.113309
201509,"A",35,-0.334700397846044,-0.197340493370651,-0.470383650396759,-0.0675874212517494,-0.051776
201510,"A",35,-0.334733739207852,-0.191028845134042,-0.382742875939859,-0.0647392667682241,0.099913
201511,"A",35,-0.336370593539388,-0.191102942996919,-0.4572542509852,-0.0735965741901797,0.107521
201512,"A",35,-0.400310574484019,-0.193348827846158,-0.457610885673046,-0.0743005621777085,0.002411
201601,"A",35,-0.296750976845634,-0.189932514818909,-0.484889188585264,-0.0876107394543715,-0.099598
201602,"A",35,-0.295901639745049,-0.189986410111931,-0.491668113760997,-0.0992216573462527,-0.008168
201603,"A",35,-0.256486494794243,-0.18344529645754,-0.488373214336673,-0.0983245946900118,0.066734
201604,"A",35,-0.296089312972471,-0.184022775289807,-0.515329594703625,-0.0955631820382589,0.029637
201605,"A",35,-0.299466272819707,-0.184083121845549,-0.445351541950505,-0.0691282664737872,0.121357
201606,"A",35,-0.283682396860557,-0.184664859687487,-0.448653342677101,-0.0715382222054121,-0.031035
201607,"A",35,-0.321497845898105,-0.183891308288044,-0.471670599249281,-0.0727346597039003,0.084336
201608,"A",35,-0.318802340035542,-0.183828104266404,-0.321013782049849,-0.0625086165468048,-0.023688
201609,"A",35,-0.312194590559629,-0.185073299237632,-0.322991004156688,-0.0667455652012917,0.004589
201610,"A",35,-0.410855216843172,-0.184728666735648,-0.351165213761672,-0.0758975085243302,-0.07495
201611,"A",35,-0.409020800444778,-0.184791006871728,-0.453166814902303,-0.0622150769035734,0.00931
201612,"A",35,-0.403967573385306,-0.183684717557972,-0.453397535879335,-0.0598809950609282,0.038627
201701,"A",35,-0.31884813011693,-0.183142699706766,-0.476268821093529,-0.0630351387815193,0.074446
201702,"A",35,-0.318710524213859,-0.183123165551845,-0.365942792561897,-0.0731338186001247,0.04718
201503,"AAL",20,-1.16137202946569,-0.245541626789709,0.541106663543737,-0.24266709180069,0.101879
201504,"AAL",20,-1.15794651716999,-0.245667991829543,0.50952112472035,-0.215937648376245,-0.08327
201505,"AAL",20,-1.15677937120082,-0.245949736289101,0.505802912929885,-0.2159144268358,-0.122502
201506,"AAL",20,-1.04778560726374,-0.245320968576218,0.505190625772289,-0.218747015178116,-0.05747
201507,"AAL",20,-1.04593969359051,-0.245470621538802,0.213426606270129,-0.2361426174118,0.004132
201508,"AAL",20,-1.04593112233991,-0.245436105392211,0.212443355507907,-0.235699961343828,-0.025436
201509,"AAL",20,-0.875141851402266,-0.248374279762545,0.215360239197888,-0.233335091651964,-0.003848
201510,"AAL",20,-0.874958004073876,-0.248412305975948,0.213505484198972,-0.209663872245632,0.190317
201511,"AAL",20,-0.875664142281475,-0.248486990234023,0.218866546212562,-0.208639605576947,-0.105149
201512,"AAL",20,-0.827347885561179,-0.25192253645598,0.217496464949928,-0.209281244911356,0.026318
201601,"AAL",20,-0.830888759820236,-0.2521871046118,0.247144822114623,-0.327399813163567,-0.079439
201602,"AAL",20,-0.82966977671868,-0.252241542005737,0.252132536036408,-0.328201935110821,0.053916
201603,"AAL",20,-0.626724049246959,-0.248985399386554,0.255734435848484,-0.327651101539609,4.4e-05
201604,"AAL",20,-0.630988895264011,-0.249093663949726,0.145159837883656,-0.301181642217567,-0.154209
201605,"AAL",20,-0.633154301681019,-0.24915382953208,0.140887634468316,-0.304467714090279,-0.077356
201606,"AAL",20,-0.681707562705382,-0.247080779654289,0.137865541154629,-0.305935460119818,-0.113017
201607,"AAL",20,-0.67384737267719,-0.247194511378858,-0.338607092389021,-0.30076058433082,0.253774
201608,"AAL",20,-0.671895912734847,-0.247130849935378,-0.345600537719599,-0.298698655041845,0.025152
201609,"AAL",20,-0.400946235985339,-0.249021381281824,-0.34757239185397,-0.300518345320329,0.00834
201610,"AAL",20,-0.395571174355752,-0.248987560730035,-0.153323141846287,-0.332609075838737,0.108787
201611,"AAL",20,-0.393708286677228,-0.249050494867197,-0.153494167255109,-0.33161538113982,0.146205
201612,"AAL",20,-0.554901462190304,-0.247814759890639,-0.153451492678492,-0.332448792561059,0.005083
201701,"AAL",20,-0.554692769549903,-0.247954454595222,0.0475711371796584,-0.313523927756697,-0.05266
201702,"AAL",20,-0.554818019561023,-0.247934683370477,0.043352486886144,-0.317384325128815,0.049544
201503,"AAP",25,-0.661442085261196,-0.207214973778128,-0.599356751825198,-0.375703679064277,-0.033434
201504,"AAP",25,-0.658396832119068,-0.207340613455981,-0.690315874362202,-0.358132104995378,-0.044692
201505,"AAP",25,-0.657502863350688,-0.207621339271232,-0.695747284020161,-0.358208888846378,0.071469
201506,"AAP",25,-0.653844121542297,-0.205426676770973,-0.696723712546084,-0.359894819796348,0.040008
201507,"AAP",25,-0.652278893025662,-0.205574846587853,-0.62440333425669,-0.359164713741078,0.093666
201508,"AAP",25,-0.652354265587163,-0.205540393207537,-0.625450190107908,-0.358672515056481,0.00597
201509,"AAP",25,-0.675693219732708,-0.208040059085348,-0.623093141335893,-0.356939461237044,0.081826
201510,"AAP",25,-0.67558952537332,-0.208078513182459,-0.362266196607523,-0.334287263819214,0.046958
201511,"AAP",25,-0.676639142150467,-0.208152785273995,-0.356670761894799,-0.333236846412292,-0.179912
201512,"AAP",25,-0.762302467317638,-0.211204822182906,-0.357178162529974,-0.333820959859813,-0.074825
201601,"AAP",25,-0.765887865595814,-0.211467966549747,-0.609982116667422,-0.371881652628612,0.010132
201602,"AAP",25,-0.764713865870038,-0.211522049369313,-0.600793072470057,-0.372663337286135,-0.023942
201603,"AAP",25,-0.483876488867565,-0.208889491400412,-0.597543213883821,-0.37217973147246,0.080371
201604,"AAP",25,-0.488292551505007,-0.208998636277375,-0.560424388484713,-0.357210095226259,-0.026544
201605,"AAP",25,-0.490974185035764,-0.209058913370931,-0.564624686486691,-0.360481365633315,-0.014578
201606,"AAP",25,-0.488725664113952,-0.20707225697386,-0.567983395014795,-0.361724854291353,0.050827
201607,"AAP",25,-0.481109169994614,-0.207185049772615,-0.582179307270175,-0.346712320174139,0.050719
201608,"AAP",25,-0.478750710574544,-0.207121677433013,-0.589249416031496,-0.344666518135666,-0.073672
201609,"AAP",25,-0.446852259481395,-0.209275188749741,-0.591168074840376,-0.346015755880256,-0.052303
201610,"AAP",25,-0.441423301818014,-0.209241819713859,-0.700470689647751,-0.369535156763996,-0.060822
201611,"AAP",25,-0.439645827979881,-0.209304386446422,-0.702985294402297,-0.368538754284266,0.211493
201612,"AAP",25,-0.33478954101635,-0.209012845388349,-0.703443928277122,-0.369806294894953,-0.003482
201701,"AAP",25,-0.334571106079128,-0.209151614836916,-0.599538399867371,-0.337314886848675,-0.029255
201702,"AAP",25,-0.33445102390367,-0.209131985546029,-0.601828992567135,-0.341163047448098,-0.046856
